Darkness|secretly
Ground (In Body, Ruins)|bedG（in vivo・Abandoned ruins）
Ground (Demonic World, Ruins)|bedH（Demonic world・Abandoned ruins）
Cobblestones A (Ruins)|stone panA（Abandoned ruins）
Cobblestones B (Ruins)|stone panB（Abandoned ruins）
Cobblestones C (Ruins)|stone panC（Abandoned ruins）
Cobblestones D (Ruins)|stone panD（Abandoned ruins）
Cobblestones E (Ruins)|stone panE（Abandoned ruins）
Cobblestones F (Ruins)|stone panF（Abandoned ruins）
Cobblestones G (Ruins)|stone panG（Abandoned ruins）
Interior Floor A (Demon Castle, Ruins)|Built-in bedA（Demon King's Castle・Abandoned ruins）
Cobblestones H (Ruins)|stone panH（Abandoned ruins）
Interior Floor B (Concrete, Ruins)|Built-in bedB（コンクリート・Abandoned ruins）
Icy Ground B|iceのbedB
Interior Floor D (Factory)|Built-in bedD（workshop）
Decorative Tile (Ruins)|Make the bed（Abandoned ruins）
Cobblestones I (Ruins)|stone panI（Abandoned ruins）
Cobblestones J (Ruins)|stone panJ（Abandoned ruins）
Decorative Tile (Ruins)|Makeupタイル（Abandoned ruins）
Large Relief Floor Tile A|bigきなレリーフbedA
Large Relief Floor Tile A|bigきなレリーフbedA
Large Relief Floor Tile B|bigきなレリーフbedB
Large Relief Floor Tile B|bigきなレリーフbedB
Directional Floor Tile A (Down)|Orientation bedA（Down）
Directional Floor Tile B (Up)|Orientation bedB（superior）
Relief Floor Tile A (Gold)|レリーフbedA（gold）
Relief Floor Tile B (Gold)|レリーフbedB（gold）
Large Relief Floor Tile A|bigきなレリーフbedA
Large Relief Floor Tile A|bigきなレリーフbedA
Large Relief Floor Tile B|bigきなレリーフbedB
Large Relief Floor Tile B|bigきなレリーフbedB
Directional Floor Tile C (Left)|Orientation bedC（Left）
Directional Floor Tile D (Right)|Orientation bedD（right）
Relief Floor Tile C (Gold)|レリーフbedC（gold）
Relief Floor Tile D (Gold, Ruins)|レリーフbedD（gold・Abandoned ruins）
