Transparent|transparent
Helmet & Tool|ヘルメットとtool
Small Crane|smallクレーン
Crate|wooden box
Shipping Container|コンテナ
Cardboard Box|ダンボール
Barrel|bottle
Oil Drum|ドラムpottery
Garbage Can|ゴミbox
Sorted Waste Bins|respectivelyゴミbox
Sorted Waste Bins|respectivelyゴミbox
Plant A|plantA
Plant B|plantB
Plant C|plantC
Vending Machine|Vending machine
ATM|ATM
Tree|Wood
Roadside Tree|street tree
Utility Pole|electric column
Plant A|plantA
Plant B|plantB
Plant C|plantC
Vending Machine|Vending machine
ATM|ATM
Tree|Wood
Avenue Tree|street tree
Utility Pole|electric column
Public Phone|public telephone
Machine Device|Mechanical end
Planter (Flower)|プランター（flower）
Planter (Plant)|プランター（plant）
Potted Plant|Uekibo
Tree (Loop)|Wood（ループ）
Tombstone (Cross)|headstone（cross）
Tombstone (Plaque)|headstone（プレート）
Neon Tube|ネオンTube
Neon Tube|ネオンTube
Machine A|machineryA
Machine B|machineryB
Machine C|machineryC
Barricade (No Entry)|バリケード（No access）
Bar (No Entry)|バー（No access）
Bar (No Entry)|バー（No access）
Neon Tube|ネオンTube
Neon Tube|ネオンTube
Outdoor Air Intake Unit|outdoor unit
Waste|abandoned things
Scrap Metal|スクラップ
Fissures A|crackedA
Fissures B|crackedB
Fissures C|crackedC
Neon Tube|ネオンTube
Neon Tube|ネオンTube
Air Vent A|ventsA
Air Vent B|ventsB
Shutter|シャッター
Fissures A|crackedA
Fissures B|crackedB
Fissures C|crackedC
Drain|drain outlet
Guardrail|ガードレール
Timetable|Timetable
Piled Up Tires|Accumulateまれたタイヤ
Small Fuel Tank|small fuelタンク
Car (White)|vehicle（white）
Car (White)|vehicle（white）
Manhole|マンホール
Bus|バス
Bus|バス
Truck|トラック
Truck|トラック
Wrecked Car|Leiれたvehicle
Car (Black)|vehicle（black）
Car (Black)|vehicle（black）
Vent|Tongjikou
Bus|バス
Bus|バス
Truck|トラック
Truck|トラック
Wrecked Car|Leiれたvehicle
Car (Red)|vehicle（red）
Car (Red)|vehicle（red）
Oil Drum (Leak)|ドラムpottery（liquid leakageれ）
Food Stalls|Ludian（Foodべthing）
Food Stalls|Ludian（Foodべthing）
Food Stalls|Ludian（Foodべthing）
Stall Goods A|Store merchandiseA
Stairs A (Up)|stageA（superiorり）
Stairs B (Up)|stageB（superiorり）
Stairs C (Up)|stageC（superiorり）
Stairs D (Up)|stageD（superiorり）
Food Stalls|Ludian（Foodべthing）
Food Stalls|Ludian（Foodべthing）
Food Stalls|Ludian（Foodべthing）
Stall Goods B|Store merchandiseB
Stairs A (Down)|stageA（Downり）
Stairs B (Down)|stageB（Downり）
Stairs C (Down)|stageC（Downり）
Stairs D (Down)|stageD（Downり）
Food Stalls|Ludian（Foodべthing）
Food Stalls|Ludian（Foodべthing）
Food Stalls|Ludian（Foodべthing）
Stall Goods C|Store merchandiseC
Metal Ladder|Ironばしご
Metal Stairs|metal stage
Rope|ロープ
Net|ネット
Junk Stalls|Ludian（ジャンク）
Junk Stalls|Ludian（ジャンク）
Junk Stalls|Ludian（ジャンク）
Stall Goods D|Store merchandiseD
Metal Ladder|Ironばしご
Metal Stairs|metal stage
Rope|ロープ
Net|ネット
Junk Stalls|Ludian（ジャンク）
Junk Stalls|Ludian（ジャンク）
Junk Stalls|Ludian（ジャンク）
Stall Goods E|Store merchandiseE
Metal Ladder|Ironばしご
Metal Stairs|metal stage
Rope|ロープ
Net|ネット
Junk Stalls|Ludian（ジャンク）
Junk Stalls|Ludian（ジャンク）
Junk Stalls|Ludian（ジャンク）
Stall Goods F|Store merchandiseF
Hole A (Metal Ladder)|holeA（Ironばしご）
Hole B (Metal Stairs)|holeB（metal stage）
Hole C (Rope)|holeC（ロープ）
Hole|hole
