Transparent|transparent
Wall Bracing|wallのReinforcement material
Wall Bracing|wallのReinforcement material
Wall Bracing|wallのReinforcement material
Wall Bracing|wallのReinforcement material
Wall Bracing|wallのReinforcement material
Wall Bracing (Abandoned Mine)|wallのReinforcement material（Abandoned pit）
Wall Bracing (Abandoned Mine)|wallのReinforcement material（Abandoned pit）
Wall Bracing (Abandoned Mine)|wallのReinforcement material（Abandoned pit）
Exit A|outsideへのexitA
Entrance A|EntranceA
Exit B|outsideへのexitB
Entrance B|EntranceB
Exit C|outsideへのexitC
Entrance C|EntranceC
Window A|瓓A
Window B|瓓B
Exit D|outsideへのexitD
Entrance D|EntranceD
Exit E|outsideへのexitE
Entrance E|EntranceE
Light From Exit A (Top)|exitからのLightA（superior）
Light From Exit B (Bottom)|exitからのLightB（Down）
Window A|瓓A
Window B|瓓B
Spider Web|spiderのSi
Stone Tablet|stone tablet
Stone Tablet (Ruins)|stone tablet（Abandoned ruins）
Entrance A|EntranceA
Entrance A (Extend)|EntranceA（extension）
Entrance A (Top Half A)|EntranceA（First halfA）
Entrance B|EntranceB
Entrance A (Top Half B)|EntranceA（First halfB）
Wall Vines A|wallのツタA
Wall Vines B|wallのツタB
Wall Vines C|wallのツタC
Wall Fern|wallのシダ
Fissures A|crackedA
Fissures B|crackedB
Fissures C|crackedC
Fissures D|crackedD
Wall Vines A|wallのツタA
Wall Vines B|wallのツタB
Wall Vines C|wallのツタC
Wall Moss|wallのmoss
Fissures A|crackedA
Fissures B|crackedB
Fissures C|crackedC
Fissures D|crackedD
Monument A|steleA
Monument B|steleB
Large Monument|bigきなstele
Large Monument|bigきなstele
Large Monument|bigきなstele
Large Monument (Lit)|bigきなstele（Light）
Large Monument (Lit)|bigきなstele（Light）
Large Monument (Lit)|bigきなstele（Light）
Monument A|steleA
Monument C|steleC
Large Monument|bigきなstele
Large Monument|bigきなstele
Large Monument|bigきなstele
Large Monument (Lit)|bigきなstele（Light）
Large Monument (Lit)|bigきなstele（Light）
Large Monument (Lit)|bigきなstele（Light）
Statue A|stone statueA
Angel Statue A|angel statueA
Angel Statue B|angel statueB
Dais|pedestal
Statue B|stone statueB
Demon Statue|Golem
Dragon Statue|dragon statue
Dragon Statue|dragon statue
Statue A|stone statueA
Angel Statue A|angel statueA
Angel Statue B|angel statueB
Dais|pedestal
Statue B|stone statueB
Demon Statue|Golem
Dragon Statue|dragon statue
Dragon Statue|dragon statue
Large Gravel Mound A (Dirt)|bigきなsoil sandA（earth）
Large Gravel Mound A (Dirt)|bigきなsoil sandA（earth）
Large Gravel Mound B (Stone)|bigきなsoil sandB（stone）
Large Gravel Mound B (Stone)|bigきなsoil sandB（stone）
Large Gold Mound|bigきなgoldのMountain
Large Gold Mound|bigきなgoldのMountain
Large Silver Mound|bigきなsilverのMountain
Large Silver Mound|bigきなsilverのMountain
Large Gravel Mound A (Dirt)|bigきなsoil sandA（earth）
Large Gravel Mound A (Dirt)|bigきなsoil sandA（earth）
Large Gravel Mound B (Stone)|bigきなsoil sandB（stone）
Large Gravel Mound B (Stone)|bigきなsoil sandB（stone）
Large Gold Mound|bigきなgoldのMountain
Large Gold Mound|bigきなgoldのMountain
Large Silver Mound|bigきなsilverのMountain
Large Silver Mound|bigきなsilverのMountain
Gravel Mound (Dirt)|soil sandA（earth）
Gravel Mound (Stone)|soil sandB（stone）
Gold Bricks A|goldのextendべGreatA
Gold Bricks B|goldのextendべGreatB
Crate A (Dirt)|wooden boxA（earth）
Crate B (Stone)|wooden boxB（stone）
Crate C (Ruins)|wooden boxC（Abandoned ruins）
Pot A (Ruins)|potA（Abandoned ruins）
Gold Mound|goldのMountain
Silver Mound|silverのMountain
Silver Bricks A|silverのextendべGreatA
Silver Bricks B|silverのextendべGreatB
Crate D (Gold Dust)|wooden boxD（gold）
Crate E (Silver Dust)|wooden boxE（silver）
Pot A|potA
Pot B|potB
Shovel|スコップ
Pickax|つるはし
Rope|ロープ
Mound of Gold Coins|gold goodsのMountain
Crate F|wooden boxF
Crate G|wooden boxG
Barrel A|bottleA
Barrel B (Ruins)|bottleB（Abandoned ruins）
Large Bones|bigきなskeleton
Large Bones|bigきなskeleton
Bones A|skeletonA
Table (Ruins)|テーブル（Abandoned ruins）
Jail Bars|iron grid
Jail Bars|iron grid
Jail Bars|iron grid
Jail Bars|iron grid
Large Bones|bigきなskeleton
Large Bones|bigきなskeleton
Bones B|skeletonB
Stool (Ruins)|Chair（Abandoned ruins）
Jail Bars|iron grid
Jail Bars|iron grid
Jail Bars|iron grid
Jail Bars|iron grid
