Darkness|secretly
Bumpy Tile C (Ruins)|BrailleブロックC（Abandoned ruins）
Stairs B (Metal, Left)|stageB（Metal・Left）
Stairs B (Metal, Center)|stageB（Metal・central）
Stairs B (Metal, Right)|stageB（Metal・right）
Stairs B (Metal)|stageB（Metal）
Interior Floor C (Green Resin)|Built-in bedC（green resin）
Interior Floor D (Tile)|Built-in bedD（タイル）
Interior Floor D (Tile, Ruins)|Built-in bedD（タイル・Abandoned ruins）
Interior Floor E (Decoration)|Built-in bedE（decoration）
Bush|Maoみ
Waste Land|wasteland
Wood Floor B|WoodのbedB
Wood Floor B (Ruins)|WoodのbedB（Abandoned ruins）
Stairs C (Meadow, Left)|stageC（grassland・Left）
Stairs C (Meadow, Center)|stageC（grassland・central）
Stairs C (Meadow, Right)|stageC（grassland・right）
Stairs C (Meadow)|stageC（grassland）
Stairs D (Wood, Left)|stageD（wooden・Left）
Stairs D (Wood, Center)|stageD（wooden・central）
Stairs D (Wood, Right)|stageD（wooden・right）
Stairs D (Wood)|stageD（wooden）
Cobblestones A|stone panA
Cobblestones B|stone panB
Cobblestones C|stone panC
Cobblestones D|stone panD
Interior Floor F (Checkered)|Built-in bedF（Ichimatsu）
Interior Floor F (Checkered, Ruins)|Built-in bedF（Ichimatsu・Abandoned ruins）
Metal Floor B|metal bedB
Metal Floor B (Rust, Ruins)|metal bedB（サビ・Abandoned ruins）
Stairs E (Carpet, Left)|stageE（じゅうたん・Left）
Stairs E (Carpet, Center)|stageE（じゅうたん・central）
Stairs E (Carpet, Right)|stageE（じゅうたん・right）
Stairs E (Carpet)|stageE（じゅうたん）
Stairs F (Desert, Left)|stageF（sandy ground・Left）
Stairs F (Desert, Center)|stageF（sandy ground・central）
Stairs F (Desert, Right)|stageF（sandy ground・right）
Stairs F (Desert)|stageF（sandy ground）
Mark Floor A|マークbedA
Mark Floor B|マークbedB
Mark Floor C|マークbedC
Mark Floor D|マークbedD
Mark Floor E|マークbedE
Mark Floor E (Ruins)|マークbedE（Abandoned ruins）
Mark Floor F (Off)|マークbedF（remove）
Mark Floor F|マークbedF
Neon Floor|ネオンbed
Interior Floor G (Tile Carpet)|Built-in bedG（タイルカーペット）
Interior Floor G (Tile Carpet, Ruins)|Built-in bedG（タイルカーペット・Abandoned ruins）
Ledge (Dirt)|step difference（earth）
Ledge (Dirt)|step difference（earth）
Ledge (Dirt)|step difference（earth）
Ledge (Dirt)|step difference（earth）
Ledge (Dirt)|step difference（earth）
Marble Floor|marble bed
Interior Floor H (Linoleum)|Built-in bedH（リノリウム）
Interior Floor H (Linoleum, Ruins)|Built-in bedH（リノリウム・Abandoned ruins）
Ledge (Dirt)|step difference（earth）
Ledge (Dirt)|step difference（earth）
Ledge (Dirt)|step difference（earth）
Ledge (Dirt)|step difference（earth）
Ledge (Dirt)|step difference（earth）
Stairs G (Tile Carpet, Left)|stageG（タイルカーペット・Left）
Stairs G (Tile Carpet, Center)|stageG（タイルカーペット・central）
Stairs G (Tile Carpet, Right)|stageG（タイルカーペット・right）
Stairs G (Tile Carpet)|stageG（タイルカーペット）
Cobblestones A (Ruins)|stone panA（Abandoned ruins）
Ledge (Dirt)|step difference（earth）
Ledge (Dirt)|step difference（earth）
Ledge (Dirt)|step difference（earth）
Stairs H (Linoleum, Left)|stageH（リノリウム・Left）
Stairs H (Linoleum, Center)|stageH（リノリウム・central）
Stairs H (Linoleum, Right)|stageH（リノリウム・right）
Stairs H (Linoleum)|stageH（リノリウム）
Cobblestones C (Ruins)|stone panC（Abandoned ruins）
Cliff (Dirt)|cliff（earth）
Cliff (Dirt)|cliff（earth）
Cliff (Dirt)|cliff（earth）
Marble Floor (Ruins)|marble bed（Abandoned ruins）
Wood Floor C|WoodのbedC
Wood Floor C (Ruins)|WoodのbedC（Abandoned ruins）
Metal Floor C (Machine)|metal bedC（machinery）
Metal Floor C (Machine, Ruins)|metal bedC（machinery・Abandoned ruins）
Cliff (Dirt)|cliff（earth）
Cliff (Dirt)|cliff（earth）
Cliff (Dirt)|cliff（earth）
