Darkness|secretly
Wood Floor F (Ruins)|WoodのbedF（Abandoned ruins）
Cobblestones G (Ruins)|stone panG（Abandoned ruins）
Cobblestones H (Ruins)|stone panH（Abandoned ruins）
Cobblestones I (Ruins)|stone panI（Abandoned ruins）
Cobblestones J (Ruins)|stone panJ（Abandoned ruins）
Interior Floor A (Wood, Ruins)|Built-in bedA（wooden・Abandoned ruins）
Interior Floor B (Brick, Ruins)|Built-in bedB（レンガ・Abandoned ruins）
Interior Floor C (Temple, Ruins)|Built-in bedC（temple・Abandoned ruins）
Interior Floor D (Stone, Ruins)|Built-in bedD（stone・Abandoned ruins）
Interior Floor E (Demon Castle, Ruins)|Built-in bedE（Demon King's Castle・Abandoned ruins）
Interior Floor F (Concrete, Ruins)|Built-in bedF（コンクリート・Abandoned ruins）
Interior Floor G (Tent, Ruins)|Built-in bedG（テント・Abandoned ruins）
Interior Floor H (Dirt, Ruins)|Built-in bedH（earth・Abandoned ruins）
Large Relief Floor Tile A|bigきなレリーフbedA
Large Relief Floor Tile A|bigきなレリーフbedA
Large Relief Floor Tile B|bigきなレリーフbedB
Large Relief Floor Tile B|bigきなレリーフbedB
Relief Floor Tile A (Silver)|レリーフbedA（silver）
Relief Floor Tile B (Silver)|レリーフbedB（silver）
Relief Floor Tile C (Gold)|レリーフbedC（gold）
Relief Floor Tile D (Gold)|レリーフbedD（gold）
Large Relief Floor Tile A|bigきなレリーフbedA
Large Relief Floor Tile A|bigきなレリーフbedA
Large Relief Floor Tile B|bigきなレリーフbedB
Large Relief Floor Tile B|bigきなレリーフbedB
Relief Floor Tile E (Silver, Ruins)|レリーフbedE（silver・Abandoned ruins）
Relief Floor Tile F (Silver)|レリーフbedF（silver）
Relief Floor Tile G (Gold, Ruins)|レリーフbedG（gold・Abandoned ruins）
Relief Floor Tile H (Gold)|レリーフbedH（gold）

